ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
476B,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35889.5789,39923.6147
476A,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35871.5713,39860.7993
477,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35851.4791,40157.02
258A,PUNGGOL TOPAZ,PUNGGOL FIELD,34974.264,42850.6041
258B,PUNGGOL TOPAZ,PUNGGOL FIELD,35026.9347,42837.6677
261B,PUNGGOL TOPAZ,PUNGGOL WAY,35032.1431,43095.6435
261A,PUNGGOL TOPAZ,PUNGGOL WAY,35064.9748,43090.6208
520B,CENTRALE 8 AT TAMPINES,TAMPINES CENTRAL 8,39835.1611,37705.3925
52A,,LORONG 5 TOA PAYOH,30119.0257,35623.7193
661,,JURONG WEST STREET 64,13714.0104,35280.3904
179,TOA PAYOH CENTRAL,TOA PAYOH CENTRAL,29866.8039,35121.5175
34A,,LORONG 5 TOA PAYOH,30312.6681,35152.2335
135,HDB-CHOA CHU KANG,TECK WHYE LANE,18900.8892,40269.1201
182A,CORPORATION SPRING,YUNG SHENG ROAD,15686.7993,35082.5112
114,HDB-GEYLANG EAST,ALJUNIED AVENUE 2,33937.7943,33779.7978
127,,PUNGGOL FIELD WALK,36770.7432,41690.1811
136,,EDGEDALE PLAINS,36512.7741,41517.5928
27A,,BALAM ROAD,33839.4151,34732.4415
140,,TECK WHYE LANE,19074.728,40222.4357
146,,TECK WHYE AVENUE,19008.9261,40342.5327
193,TOA PAYOH CENTRAL,LORONG 4 TOA PAYOH,30000.602,34865.987
135A,,TECK WHYE LANE,18947.3246,40251.9988
817,LAVENDER GARDENS,JELLICOE ROAD,31069.6256,32118.0073
32,,DAKOTA CRESCENT,33873.3468,32064.3916
304,,CHOA CHU KANG AVENUE 4,17964.9243,40716.2478
87,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,36048.5504,31644.3462
113,,EDGEFIELD PLAINS,36219.9648,41989.5133
83B,COMMONWEALTH HEIGHTS,COMMONWEALTH CLOSE,24407.8157,31916.3172
14,GOLDEN BEACH VISTA,BEACH ROAD,31303.9926,31777.9913
48,,BENDEMEER ROAD,31681.5486,33951.844
7,,KING GEORGE'S AVENUE,30975.9935,32234.6818
98A,,LORONG 3 TOA PAYOH,29705.7167,35674.2754
71,,KALLANG BAHRU,32125.682,33694.2367
17,GOLDEN BEACH VISTA,BEACH ROAD,31367.3235,31780.9026
155,,BUKIT BATOK STREET 11,18003.6793,36671.0739
403A,,ADMIRALTY LINK,26080.7965,48364.8412
57B,,NEW UPPER CHANGI ROAD,40035.8442,33913.7783
475A,,SEMBAWANG DRIVE,26175.8826,48091.3608
21,,OLD AIRPORT ROAD,33686.3393,32211.8077
29,,TELOK BLANGAH RISE,26641.6585,28463.9134
189,,PUNGGOL CENTRAL,36546.9557,42322.609
38,HDB-BUKIT MERAH,TELOK BLANGAH RISE,26763.7374,28313.5994
65,,YUNG KUANG ROAD,15713.71,34952.9313
55A,,COMMONWEALTH DRIVE,23999.2392,31054.4586
454,,CHOA CHU KANG AVENUE 4,17038.5618,40107.0504
320,ANCHORVALE GROVE,ANCHORVALE DRIVE,34430.5055,41397.7824
684,,CHOA CHU KANG CRESCENT,18328.6852,42888.8334
502,MONTREAL SPRING,WELLINGTON CIRCLE,26704.5614,48099.0368
641,,BUKIT BATOK CENTRAL,18878.7188,36790.2979
639,HDB-BUKIT BATOK,BUKIT BATOK CENTRAL,18954.3147,36819.5423
685,,CHOA CHU KANG CRESCENT,18506.7598,42881.589
630,,BUKIT BATOK CENTRAL,18718.1075,36911.5145
353,HDB-SEMBAWANG,ADMIRALTY DRIVE,26410.3844,48078.5163
52,WHAMPOA GARDENS,JALAN BAHAGIA,30510.9578,34440.9024
668A,,WOODLANDS RING ROAD,24097.6085,46698.8105
461,,HOUGANG AVENUE 10,34823.1401,39415.7994
687D,,WOODLANDS DRIVE 75,25154.871,47035.3674
505A,,BISHAN STREET 11,29705.6527,36806.9278
678B,,CHOA CHU KANG CRESCENT,18168.9071,42704.3986
445,,PASIR RIS DRIVE 6,41851.4917,39122.7666
685A,,WOODLANDS DRIVE 73,24926.1882,47016.3209
172,TOA PAYOH GREEN,LORONG 1 TOA PAYOH,29083.3848,34729.4039
507,,BISHAN STREET 11,29776.2148,36779.9408
712,,ANG MO KIO AVENUE 6,29531.0072,39281.6285
272,,JURONG WEST STREET 24,13682.1912,36938.9111
19B,,JALAN TENTERAM,30928.7293,34447.0293
143,,TECK WHYE LANE,19072.9863,40273.4843
142A,,LORONG 2 TOA PAYOH,29264.2456,35314.7681
342,YUHUA PLACE,JURONG EAST STREET 31,16659.8075,36465.3041
816,LAVENDER GARDENS,JELLICOE ROAD,31107.8816,32141.7291
815,LAVENDER GARDENS,JELLICOE ROAD,31160.2481,32139.2492
525,CHENG SAN CENTRE,ANG MO KIO AVENUE 10,30299.0014,39403.6077
813,LAVENDER GARDENS,JELLICOE ROAD,31204.2823,32179.871
358,SUN BLISS,ADMIRALTY DRIVE,26118.4183,47887.3714
256,,JURONG EAST STREET 24,17420.7441,36264.507
3A,,PINE CLOSE,33519.3,32124.6919
962A,,HOUGANG AVENUE 9,32987.108,39991.4835
207,COMPASSVALE CREST,COMPASSVALE LANE,35213.9234,40823.1938
46,,COMMONWEALTH DRIVE,24046.3629,31234.7828
46,,TANGLIN HALT ROAD,24067.5972,31270.1861
46-2,,COMMONWEALTH DRIVE,24084.4562,31390.2233
2A,,EUNOS CRESCENT,35776.3934,33606.7579
484B,,ADMIRALTY LINK,25984.7133,48703.5912
460,,HOUGANG AVENUE 10,34823.4012,39473.8434
39,WHAMPOA GARDENS,JALAN BAHAGIA,30537.4027,34379.9748
10A,,JALAN KUKOH,28596.0237,29917.5218
505C,,BISHAN STREET 11,29718.6632,36752.2742
508,,BISHAN STREET 11,29769.7361,36762.8925
505D,,BISHAN STREET 11,29742.9249,36798.6765
106A,SGP INTERNATIONAL MANAGEMENT ACADEMY,HENDERSON CRESCENT,26778.7517,30155.8588
588B,,WOODLANDS DRIVE 16,23738.3645,45556.4141
46,SIMS VISTA,SIMS PLACE,33060.0713,33316.6286
40,WHAMPOA GARDENS,JALAN BAHAGIA,30548.4369,34390.5732
509,,BISHAN STREET 11,29805.2555,36738.5112
505B,,BISHAN STREET 11,29692.4961,36758.0658
49,WHAMPOA GARDENS,JALAN BAHAGIA,30565.7729,34431.4063
42A,THE BEO CRESCENT,HAVELOCK ROAD,27217.4346,30168.4422
171A,,GANGSA ROAD,20549.8351,40131.7027
80,,REDHILL LANE,26382.2001,30024.7078
575A,,WOODLANDS DRIVE 16,23962.0444,45916.2324
512,,BISHAN STREET 13,29843.2903,36859.9039
119,,KIM TIAN ROAD,27381.7095,29361.7141
507,MONTREAL SPRING,WELLINGTON CIRCLE,26913.8854,48180.6587
153A,MEILING HEIGHTS,MEI LING STREET,24619.7345,30701.0161
41,WHAMPOA GARDENS,JALAN BAHAGIA,30587.7176,34359.9976
48A,THE BEO CRESCENT,HAVELOCK ROAD,27221.5553,30252.4675
1A,,EVERTON PARK,28772.2659,28850.7664
471A,SEGAR GARDENS,SEGAR ROAD,21304.4901,41121.2534
444,,PASIR RIS DRIVE 6,41808.8716,39113.7596
51,WHAMPOA GARDENS,JALAN BAHAGIA,30526.5088,34438.228
44,WHAMPOA GARDENS,JALAN BAHAGIA,30661.2264,34403.7153
46,WHAMPOA GARDENS,JALAN BAHAGIA,30626.83,34429.9378
47,WHAMPOA GARDENS,JALAN BAHAGIA,30624.0493,34414.2684
42,THE SALVATION ARMY FAMILY SUPPORT SERVICES,BEO CRESCENT,27254.251,30177.3752
50,WHAMPOA GARDENS,JALAN BAHAGIA,30549.7116,34434.2335
4A,,JOO SENG ROAD,33115.6401,35110.9911
57,HDB-KALLANG/WHAMPOA,JALAN MA'MOR,30611.2888,34516.5314
514B,,BISHAN STREET 13,29900.4722,36988.406
81,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,36208.2279,31665.0934
85,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,36172.1882,31609.5403
82,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,36176.8534,31647.3803
43,HDB-QUEENSTOWN,STIRLING ROAD,24581.0823,31162.4856
296,COMPASSVALE LODGE,COMPASSVALE CRESCENT,35317.4867,42111.966
762A,,WOODLANDS AVENUE 6,23834.1974,47551.5293
295A,PUNGGOL GROVE,PUNGGOL CENTRAL,35919.6013,42643.1081
503,MONTREAL SPRING,CANBERRA LINK,26736.5621,48021.2932
637,,BUKIT BATOK CENTRAL,18966.5241,36857.3677
41,PINE GREEN,JALAN TIGA,33725.3809,32238.4826
64A,,COMMONWEALTH DRIVE,23946.6482,31281.1695
642,HDB-BUKIT BATOK,BUKIT BATOK CENTRAL,18917.5038,36791.9498
632,,BUKIT BATOK CENTRAL,18787.5179,36836.8151
638,,BUKIT BATOK CENTRAL,18985.8695,36831.4209
934,,YISHUN CENTRAL 1,28358.3991,45279.1859
306D,ANCHORVALE PLACE,ANCHORVALE LINK,34135.8671,41339.5889
299D,COMPASSVALE GREEN,COMPASSVALE STREET,35606.7029,42001.144
359,HDB-HOUGANG,HOUGANG AVENUE 5,34893.8262,39018.0261
358,HDB-HOUGANG,HOUGANG AVENUE 5,34930.4134,38985.1424
722A,,WOODLANDS AVENUE 6,24224.1908,47413.0374
814,,HOUGANG AVENUE 10,34656.3509,39357.0241
350,,CANBERRA ROAD,26633.5102,47970.0412
515A,,WOODLANDS DRIVE 14,23169.9601,46216.2762
56,HDB-QUEENSTOWN,STIRLING ROAD,24767.0906,31007.6105
52,HDB-QUEENSTOWN,STIRLING ROAD,24681.3027,30990.9517
634,,BUKIT BATOK CENTRAL,18897.9857,36873.0185
50,HDB-QUEENSTOWN,STIRLING ROAD,24713.87,31056.789
97A,,ALJUNIED CRESCENT,33875.0077,33707.6578
