X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.8097586,1.295319658,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  DAWSON,"BLK 85 DAWSON ROAD, #01-01"
103.7950489,1.439955074,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 4 RN,"862 WOODLANDS STREET 83, WOODLANDS ZONE 4 RN, #01-184"
103.7906028,1.444796292,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 3 RN,"876 WOODLANDS STREET 83, WOODLANDS ZONE 3 RN"
103.8457652,1.373433684,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COURTS @ ANG MO KIO AVE 6,730 ANG MO KIO AVE 6
103.8717045,1.350438172,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COURTS @ NEX MALL,"23 SERANGOON CENTRAL, NEX MALL, #02-49/50"
103.9338059,1.373623359,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COURTS @ COURTS MEGASTORE,"50 TAMPINES NORTH DRIVE 2, COURTS MEGASTORE"
103.8483992,1.369248913,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",FAIRPRICE @ ANG MO KIO HUB,"53 ANG MO KIO AVE 3, ANG MO KIO HUB, #B2-40"
103.8499848,1.291244,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",LENOVO FLAGSHIP @ FUNAN MALL,"107 NORTH BRIDGE ROAD, FUNAN MALL, #03-19/20"
103.8050324,1.282431346,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HEWLETT-PACKARD @ HP ENTERPRISE,"1 DEPOT CLOSE, HP ENTERPRISE"
103.8434632,1.31733463,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",MEGADISCOUNTSTORE @ UNITED SQUARE,"101 THOMSON ROAD, UNITED SQUARE, #B1-56D/E"
103.8324092,1.448855645,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",SHENG SIONG @ EAST BROOK @ CANBERRA,"105 CANBERRA ST, EAST BROOK @ CANBERRA, #02-05"
103.8013051,1.299150228,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",QUEENSTOWN CC,365 COMMONWEALTH AVE
103.8144483,1.289787119,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",LENG KEE CC,400 LENGKOK BAHRU
103.7447279,1.394917584,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",YEW TEE CC,"20 CHOA CHU KANG STREET 52, YEW TEE CC"
103.7850069,1.431771022,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODGROVE CC,"353 WOODLANDS AVENUE 1, WOODGROVE CC"
103.7969989,1.435426085,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 7 RN,"611 WOODLANDS RING ROAD, WOODLANDS ZONE 7 RN"
103.8031925,1.436717378,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 8 RN,"638 WOODLANDS RING ROAD, WOODLANDS ZONE 8 RN"
103.7991179,1.436985956,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 9 RN,"656 WOODLANDS RING ROAD, WOODLANDS ZONE 9 RN"
103.7934746,1.443302597,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WOODLANDS ZONE 2 RN,"846 WOODLANDS AVENUE 4, WOODLANDS ZONE 2 RN"
103.7968465,1.450749724,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  200 WOODLANDS IND PARK,"200 WOODLANDS INDUSTRIAL PARK E7, #01-30"
